时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,100,421,437,0.36,2611,256,88,-2.0,-2,1.04,4,0,90,0,2801,0,8.247653E-8,100,0.0,16,100,1,3,1.79,0,6,3,2,0.8,0.3,
0.15,100,423,440,0.36,2604,256,88,-13.0,-18,3.79,2,4182,94,3910,2805,2433,-0.3780692,100,31.8,15,100,1,3,1.79,0,58,5,11,10.5,0.7,
0.27,100,423,440,0.36,2600,256,88,-14.3,-33,3.88,1,4172,95,3962,2801,2456,-1.52493,100,31.9,15,100,1,3,1.79,0,60,1,3,11.0,0.7,
0.39,100,423,440,0.36,2594,256,88,-15.8,-30,3.97,0,4163,94,3913,2796,2443,-1.1941682,100,31.9,15,100,1,3,1.78,0,62,0,0,11.5,0.5,
0.49,100,423,440,0.36,2588,256,88,-17.1,-26,4.0,0,4161,93,3869,2793,2411,-0.7098627,100,31.8,15,100,1,3,1.78,0,63,0,0,11.7,0.3,
0.62,100,424,440,0.36,2581,256,88,-18.5,-25,4.02,0,4164,91,3790,2793,2367,-0.494897,100,31.7,15,100,1,3,1.78,0,64,0,0,11.9,0.0,
0.74,100,424,440,0.36,784,256,88,-19.9,-23,4.03,1,4172,90,3755,2795,2337,-0.24467887,100,31.6,15,100,1,3,1.78,0,65,0,0,12.0,0.3,
0.83,100,424,440,0.36,783,256,88,-21.0,-21,4.04,1,4179,90,3761,2798,2330,-0.010278595,100,31.6,15,100,1,3,1.79,0,65,0,0,12.1,0.5,
0.94,100,424,440,0.36,780,256,88,-21.9,-21,4.04,1,4183,90,3764,2800,2337,0.11186121,100,31.6,15,100,1,3,1.79,0,65,0,0,12.1,0.6,
1.07,100,424,440,0.36,777,256,88,-23.4,-19,4.06,2,4186,91,3809,2803,2365,0.3533509,100,31.6,16,100,1,3,1.79,0,65,0,0,12.1,0.7,
1.17,100,424,440,0.36,775,256,88,-24.4,-20,4.06,2,4186,92,3850,2804,2388,0.37405753,100,31.6,16,100,1,3,1.79,0,66,0,0,12.1,0.7,
1.30,100,424,441,0.36,771,256,89,-25.6,-17,4.07,2,4182,93,3888,2803,2409,0.7122423,100,31.7,16,100,1,3,1.79,0,66,0,0,12.1,0.6,
1.40,100,425,441,0.36,769,256,89,-26.5,-18,4.08,2,4178,93,3886,2801,2414,0.6961763,100,31.7,16,100,1,3,1.79,0,66,0,0,12.1,0.5,
1.54,100,425,441,0.36,765,256,89,-27.6,-17,4.08,2,4174,93,3881,2799,2406,0.8941821,100,31.7,15,100,1,3,1.79,0,66,0,0,12.1,0.3,
1.65,100,425,441,0.36,762,256,89,-28.6,-17,4.09,1,4172,92,3838,2798,2390,0.9720919,100,31.7,15,100,1,3,1.79,0,65,0,0,12.1,0.3,
1.75,100,426,442,0.36,759,256,89,-29.4,-21,4.09,1,4173,92,3839,2798,2374,0.70520735,100,31.7,16,100,1,3,1.79,0,65,0,0,12.1,0.2,
1.85,100,426,442,0.36,756,256,89,-30.1,-18,4.09,1,4176,91,3800,2798,2364,0.98530227,100,31.7,16,100,1,3,1.79,0,66,0,0,12.1,0.2,
1.99,100,427,442,0.36,752,256,89,-31.1,-16,4.1,1,4178,91,3801,2799,2356,1.2416328,100,31.7,16,100,1,3,1.79,0,65,0,0,12.1,0.2,
